property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,emaar mgf the palm drive,sector 66,3.5,16471.0,3,4,3,Relatively New,2150.0,0,1,0,0,0,0,Medium,High Floor
flat,dlf regal gardens,sector 90,1.78,8036.0,4,4,3+,Relatively New,2000.0,0,0,0,0,0,0,High,High Floor
flat,sanskriti apartments,sector 43,2.5,13514.0,3,2,3,Old Property,1674.0,1,0,0,0,0,0,Low,Mid Floor
house,independent,sector 38,3.9,21242.0,6,6,3+,Moderately Old,1836.0,1,1,0,1,0,0,Low,Mid Floor
house,independent,sector 3,0.55,6707.0,2,2,1,Moderately Old,810.0,0,0,0,0,0,0,Low,Low Floor
flat,bptp terra,sector 37d,1.67,7622.0,4,4,3,Relatively New,2091.0,0,0,0,0,0,1,High,High Floor
flat,shree vardhman flora,sector 90,0.65,6792.0,2,2,3,Relatively New,1050.0,1,0,0,0,0,0,Medium,High Floor
flat,m3m golfestate,sector 65,5.5,16960.0,3,4,3,Relatively New,2803.0,0,1,0,0,0,0,Medium,Mid Floor
flat,dlf regal gardens,sector 90,2.05,8999.0,4,4,3+,Relatively New,2005.0,0,0,0,0,0,1,Medium,Mid Floor
house,independent,sector 51,2.25,2778.0,6,3,3+,Relatively New,900.0,0,0,0,0,0,0,Medium,Mid Floor
house,unitech uniworld resorts,sector 33,11.0,26667.0,5,6,3,New Property,4125.0,1,1,0,0,0,0,Medium,Mid Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.41,10307.0,2,2,3,Relatively New,1238.0,0,0,0,0,1,0,Medium,Low Floor
flat,mapsko mount ville,sector 79,1.65,9091.0,3,3,0,Relatively New,1815.0,0,0,0,0,0,0,Low,High Floor
flat,vatika gurgaon,sector 83,0.98,8167.0,2,2,3,Relatively New,1300.0,0,0,0,0,0,1,High,Mid Floor
flat,essel towers,sector 14,2.2,12500.0,3,4,3+,Old Property,1956.0,0,0,0,0,0,0,Low,Mid Floor
flat,dlf the skycourt,sector 86,1.5,7776.0,3,3,1,Relatively New,1550.0,0,0,0,0,0,0,High,High Floor
house,satya the hermitage,sector 103,4.35,13501.0,4,4,3+,Relatively New,3222.0,1,1,1,1,0,1,High,Low Floor
flat,tulip violet,sector 69,1.3,8286.0,3,3,1,Relatively New,1419.0,0,0,0,1,0,0,Medium,High Floor
flat,chd avenue,sector 71,1.1,6104.0,3,4,3,Moderately Old,1631.0,0,1,0,0,0,0,Low,Mid Floor
flat,dlf the primus,sector 82a,1.59,10338.0,3,3,3+,Relatively New,1668.0,0,0,0,0,1,2,High,Mid Floor
flat,godrej icon,sector 88a,1.65,9041.0,3,3,3,New Property,1652.0,0,0,0,0,0,0,Medium,High Floor
flat,dlf the ultima,sector 81,2.28,10842.0,3,3,3+,Relatively New,1750.0,0,1,0,0,0,2,Medium,High Floor
flat,dlf new town heights,sector 90,1.6,6768.0,4,4,3+,Relatively New,2139.0,0,1,0,1,0,0,High,High Floor
flat,dlf regal gardens,sector 90,1.21,6926.0,3,3,3+,Relatively New,1581.0,0,0,0,0,1,0,High,High Floor
flat,dlf regal gardens,sector 90,1.25,10417.0,3,3,3,Moderately Old,1437.0,0,1,0,0,0,0,High,High Floor
flat,bestech park view residency,sector 2,0.98,6931.0,2,2,3,Moderately Old,1281.0,0,0,0,0,0,0,Medium,High Floor
flat,experion the heartsong,sector 108,0.93,6078.0,2,3,3,Relatively New,1161.0,0,0,0,0,0,0,Medium,High Floor
flat,smart world orchard,sector 61,2.24,14461.0,3,3,2,New Property,1402.0,0,0,0,0,1,0,Medium,Mid Floor
flat,kiran residency,sector 56,1.55,7750.0,3,3,3,Old Property,1810.0,0,1,0,0,0,1,Medium,Mid Floor
flat,supertech araville,sector 79,0.78,6023.0,2,2,3+,Relatively New,1172.0,0,0,0,0,0,0,Low,High Floor
flat,la vida by tata housing,sector 113,1.93,12223.0,3,3,2,Under Construction,1429.0,0,0,0,0,0,0,Medium,High Floor
flat,ats triumph,sector 104,2.6,8814.0,4,4,3+,Relatively New,3064.0,0,1,0,0,0,1,High,High Floor
house,experion windchants,sector 112,7.46,10260.0,4,4,3+,Relatively New,6350.0,0,1,0,1,0,1,Medium,Low Floor
flat,ambience creacions,sector 22,4.8,19200.0,4,6,3+,New Property,2778.0,0,1,0,1,0,2,Medium,High Floor
flat,experion the heartsong,sector 108,0.97,9238.0,2,2,3,Relatively New,1167.0,0,1,0,0,0,0,High,High Floor
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2,2,2,Relatively New,828.0,0,0,0,0,0,0,High,High Floor
flat,dlf garden city floors,sector 92,1.7,8586.0,3,4,2,Under Construction,1475.0,0,0,0,0,0,0,Medium,Low Floor
house,independent,sector 26,6.75,27778.0,3,3,3,Moderately Old,2430.0,0,0,0,0,0,0,Low,Low Floor
flat,dlf new town heights,sector 90,1.2,6218.0,3,3,3+,Moderately Old,2144.0,0,1,0,1,0,0,Medium,High Floor
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,5,3,Relatively New,1527.0,0,1,0,1,0,0,High,High Floor
house,independent,sector 13,1.5,11538.0,10,7,3,Moderately Old,1300.0,0,0,0,0,0,0,Low,Mid Floor
flat,antriksh heights,sector 84,0.69,5111.0,2,2,3+,Relatively New,1222.0,1,0,0,0,0,0,Medium,High Floor
flat,ss,sector 85,1.2,7151.0,2,2,3,Relatively New,1660.0,0,0,0,0,0,0,Medium,High Floor
flat,apartment,sector 92,0.75,4688.0,3,4,3,Moderately Old,1778.0,1,0,0,0,0,0,High,Low Floor
flat,vatika city,sector 49,1.69,8622.0,3,3,3,Moderately Old,2178.0,0,0,0,1,0,0,High,Mid Floor
flat,ireo victory valley,sector 67,4.5,14098.0,4,4,3+,Relatively New,3160.0,0,1,0,1,0,1,Medium,Low Floor
house,unitech uniworld resorts,sector 33,8.5,17820.0,5,5,3+,New Property,4770.0,1,1,1,1,0,1,High,Mid Floor
flat,signature global solera,sector 107,0.4,6645.0,2,2,1,Relatively New,577.0,0,0,0,0,0,1,Medium,High Floor
flat,hsiidc sidco aravali,manesar,0.9,3648.0,4,4,3,Moderately Old,2233.0,0,0,0,0,0,0,Low,High Floor
flat,residency grand,sector 52,5.0,7692.0,5,7,3+,Moderately Old,5778.0,0,1,0,1,0,0,Medium,Low Floor
flat,whiteland blissville,sector 76,1.9,11364.0,3,3,2,Under Construction,1513.0,0,0,0,0,0,0,Medium,Low Floor
flat,spaze privy at,sector 84,1.24,6465.0,3,3,3,Relatively New,1650.0,1,0,0,0,0,1,High,High Floor
flat,central park flower valley,sector 33,1.4,21538.0,3,3,3,Under Construction,588.0,0,0,0,0,0,0,Medium,Low Floor
flat,rof ananda,sector 95,0.46,6319.0,2,2,2,New Property,809.0,1,0,0,0,0,0,Medium,High Floor
