Canonical_Location,Variant_Count,All_Variants
Esplanade Mall,2,Esplanade Mall | The Esplanade Mall
Western Peripheral Expressway,2,"Western Peripheral Expressway | Western Peripheral Expy, Gurugram"
Silver Streak Multi Speciality,2,Silver Streak Multi Speciality | Silver Streak Multi Speciality Hospital
Sector 54 Chowk,2,Sector 54 Chowk | Sector 54 Chowk Metro Station
SkyJumper Trampoline Park,2,SkyJumper Trampoline Park | SkyJumper Trampoline Park Gurgaon
Damdama Lake,2,Damdama Lake | Damdama Lake Rd
Grand Hyatt,2,Grand Hyatt | Grand Hyatt Gurgaon
GEMS International School,2,GEMS International School | Gems International School
Gurgaon - Delhi Expy,2,"Gurgaon - Delhi Expy | Gurgaon - Delhi Expy, Sector 75A"
National Tennis Academy,2,National Tennis Academy | National Tennis Academy Sector 98
Omaxe City Centre,2,Omaxe City Centre | Omaxe City Centre Mall
KFG Sports Club,2,KFG Sports Club | KFG sports club Parking
KIIT College,2,KIIT College | KIIT College of Engineering
KMP Corridor,2,KMP Corridor | KMP corridor
KR Mangalam,2,KR Mangalam | KR Mangalam University Sohna
OMAXE Gurgaon Mall,2,OMAXE Gurgaon Mall | Omaxe Gurgaon Mall
Krishna Hospital,2,Krishna Hospital | Shree Krishna Hospital
Naurangpur Road,2,"Naurangpur Road | Rampura Flyover, Naurangpur Rd"
Narayana E Techno,2,Narayana E Techno | Narayana e Techno School
International Tech Park Gurgaon,2,"International Tech Park Gurgaon | International Tech Park Gurgaon,"
Nakhrola Stadium,2,Nakhrola Stadium | Nakhrola Stadium Sector 81A
Lotus Valley International School,2,"Lotus Valley International School | Lotus Valley Intl School, Gurgaon"
NH 352W,2,"NH 352W | NH 352W, Pataudi"
AIPL Business Club,2,AIPL Business Club | AIPL Business Club Sector 62
M3M Cosmopolitan,2,M3M Cosmopolitan | M3M Cosmopolitan Mall
iGrow Montessori,2,iGrow Montessori | iGrow Montessori Play School
Mehrauli-Gurgaon Rd,2,Mehrauli-Gurgaon Rd | Mehrauli-Gurgaon Road
MatriKiran High School,2,MatriKiran High School | Matrikiran High School
JMS Marine Square,2,JMS Marine Square | JMS Marine Square Mall
InfinityS Badminton Academy,2,InfinityS Badminton Academy | Infinitys Badminton Academy
Gurgaon Railway Station,2,Gurgaon Railway Station | Gurgaon railway station
Aarvy Hospital,2,Aarvy Hospital | Arvy Hospital
Rion's Hospital,2,Rion's Hospital | Rions Hospital
Gurugram Rd,2,Gurugram Rd | Gurugram Road
HUB 66,2,HUB 66 | Hub 66
HUDA Market,2,"HUDA Market | HUDA Market, Sector 14"
Rajiv Chowk,2,Rajiv Chowk | Rajiv Chowk - Sohna Highway
Country Inn & Suites By Radisson,2,Country Inn & Suites By Radisson | Country Inn & Suites by Radisson
Heritage Badminton Academy,2,Heritage Badminton Academy | Heritage badminton academy
Heritage School,2,Heritage School | Imperial Heritage School
Holiday Inn Express Gurugram Sec 50,2,Holiday Inn Express Gurugram Sec 50 | Holiday Inn Express Gurugram Sector 50
Infinity Business Park,2,Infinity Business Park | infinity Business Park
Huda City Centre,2,Huda City Centre | Huda City Centre Metro Station
Propose Metro Station,2,Propose Metro Station | Proposed Metro Station
Prime Scholars Int. School,2,Prime Scholars Int. School | Prime Scholars International School
IGI Airport,2,IGI Airport | IGIA Airport
Pranavananda Int. School,2,Pranavananda Int. School | Pranavananda International School
Park Hospital,2,"Park Hospital | Park Hospital, Palam Vihar"
Palam Vihar Halt,2,Palam Vihar Halt | Palam Vihar Halt Railway Station
IndusInd Bank,2,IndusInd Bank | IndusInd Bank ATM
Health Care Pharmacy,2,Health Care Pharmacy | Health care pharmacy
