PropertyName,PropertySubName,Link,TopFacilitiesStr
Signature Global Park,dependent floor ,https://www.99acres.com/signature-global-park-sohna-gurgaon-npxid-r330597,"['Swimming Pool', 'Gazebo', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Multipurpose Hall', 'Yoga/Meditation Area', 'Jogging Track', 'Gymnasium']"
Emaar MGF Marbella, sector 66,https://www.99acres.com/emaar-mgf-marbella-sector-66-gurgaon-npxid-r1134,"['Bowling Alley', 'Mini Theatre', 'Concierge Service', 'Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Cigar Lounge', 'Changing Area', 'Salon']"
Rishali Luxe Residency 112, sector 112,https://www.99acres.com/rishali-luxe-residency-112-sector-112-gurgaon-npxid-r409012,"['Community Hall', 'Sewage Treatment Plant', 'Rain Water Harvesting', 'Club House', '24/7 Power Backup', 'Gated Community', '24/7 Water Supply', ""Children's Play Area"", 'Garbage Disposal']"
Puri The Aravallis, sector 61,https://www.99acres.com/puri-the-aravallis-sector-61-gurgaon-npxid-r396420,"['Foosball', 'Infinity Pool', 'Swimming Pool', 'Football', 'Jacuzzi', 'Cricket Pitch', 'Sun Deck', 'Lawn Tennis Court', 'Amphitheatre']"
International City by SOBHA Phase 2, sector 109,https://www.99acres.com/international-city-by-sobha-phase-2-sector-109-gurgaon-npxid-r259717,"['Swimming Pool', 'Theater Home', 'School', 'Solar Lighting', 'Restaurant', 'Terrace Garden', 'Jacuzzi', 'Piped Gas', 'Squash Court']"
Emaar MGF The Palm Drive, sector 66,https://www.99acres.com/emaar-mgf-the-palm-drive-sector-66-gurgaon-npxid-r19,"['Swimming Pool', 'Theater Home', 'Bar/Chill-Out Lounge', 'Cigar Lounge', 'Reading Lounge', 'Reflexology Park', 'Golf Course', 'Changing Area', 'School']"
BPTP Green Oaks, sector 70a,https://www.99acres.com/bptp-green-oaks-sector-70a-gurgaon-npxid-r382679,"['Community Hall', 'Club House', 'Landscape Garden']"
Puri Emerald Bay, sector 104,https://www.99acres.com/puri-emerald-bay-sector-104-gurgaon-npxid-r5456,"['Swimming Pool', 'Theatre', 'Wi-Fi Connectivity', 'Cafeteria', 'Billiards', 'Lawn Tennis Court', 'Video Door Security', 'Multipurpose Court', 'Amphitheatre']"
Ireo Victory Valley, sector 67,https://www.99acres.com/ireo-victory-valley-sector-67-gurgaon-npxid-r871,"['Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Conference room', 'School', 'Salon']"
DLF Gardencity,dependent floor ,https://www.99acres.com/dlf-gardencity-sector-91-gurgaon-npxid-r1193,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'School', 'Restaurant', 'Spa', 'Squash Court', 'Theatre', 'Cafeteria', 'Fountain']"
Tata Primanti,dependent floor ,https://www.99acres.com/tata-primanti-sector-72-gurgaon-npxid-r1148,"['Swimming Pool', 'Changing Area', 'School', 'Card Room', 'Restaurant', 'Sauna', 'Jacuzzi', 'Piped Gas', 'Steam Room']"
DLF Park Place, sector 54,https://www.99acres.com/dlf-park-place-sector-54-gurgaon-npxid-r8,"['Mini Theatre', 'Swimming Pool', 'Theater Home', 'Business Lounge', 'Laundry', 'Changing Area', 'School', 'Salon', 'RO System']"
Central Park Flower Valley,dependent floor ,https://www.99acres.com/central-park-flower-valley-sector-33-sohna-gurgaon-npxid-r22052,"['Swimming Pool', 'Reading Lounge', 'Reflexology Park', 'Golf Course', 'Aerobics Centre', 'Sauna', 'Jacuzzi', 'Steam Room', 'Creche/Day care']"
Ireo Skyon, sector 60,https://www.99acres.com/ireo-skyon-sector-60-gurgaon-npxid-r1147,"['Swimming Pool', 'Golf Course', 'Changing Area', 'School', 'Restaurant', 'High Speed Elevators', 'Piped Gas', 'Steam Room', 'Squash Court']"
AIPL The Peaceful Homes, sector 70a,https://www.99acres.com/aipl-the-peaceful-homes-sector-70a-gurgaon-npxid-r3480,"['Automated Car Wash', 'Concierge Service', 'Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Reading Lounge', 'Golf Course', 'Volley Ball Court', 'Salon']"
Adani M2K Oyster Grande, sector 102,https://www.99acres.com/adani-m2k-oyster-grande-sector-102-gurgaon-npxid-r4904,"['Swimming Pool', 'Changing Area', 'School', 'Salon', 'ATM', 'Aerobics Centre', 'Card Room', 'Solar Water Heating', 'Waiting Lounge']"
G99, sector 99,https://www.99acres.com/g99-sector-99-gurgaon-npxid-r1561,"['Milk Booth', 'Manicured Garden', 'Swimming Pool', 'Football', 'Flower Garden', 'School', 'Restaurant', 'Pergola', 'Skating Rink']"
Emaar MGF Emerald Floors Premier,dependent floor ,https://www.99acres.com/emaar-mgf-emerald-floors-premier-sector-65-gurgaon-npxid-r652,"['Clinic', 'Swimming Pool', 'School', 'Piped Gas', 'Creche/Day care', 'Theatre', 'Shopping Centre', 'Lawn Tennis Court', 'Jogging Track']"
ROF Insignia Park,dependent floor ,https://www.99acres.com/rof-insignia-park-sector-93-gurgaon-npxid-r383406,"['Swimming Pool', 'Skating Rink', 'Grocery Shop', 'Gazebo', 'Cricket Pitch', 'Lawn Tennis Court', 'Amphitheatre', 'Basketball Court', 'Badminton Court']"
DLF The Ultima, sector 81,https://www.99acres.com/dlf-the-ultima-sector-81-gurgaon-npxid-r7182,"['Mini Theatre', 'Swimming Pool', 'Theater Home', 'Football', 'Bar/Chill-Out Lounge', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Changing Area']"
Indiabulls Enigma, sector 110,https://www.99acres.com/indiabulls-enigma-sector-110-gurgaon-npxid-r31904,"['Swimming Pool', 'Aerobics Centre', 'Barbecue', 'Restaurant', 'Pergola', 'Spa', 'Pool Table', 'Cafeteria', 'Sun Deck']"
Experion The Westerlies, sector 108,https://www.99acres.com/experion-the-westerlies-sector-108-gurgaon-npxid-r18410,"['Swimming Pool', 'Reflexology Park', 'Barbecue', 'Terrace Garden', 'Gazebo', 'Fountain', 'Sun Deck', 'Amphitheatre', 'Power Back up Lift']"
Hero Homes, sector 104,https://www.99acres.com/hero-homes-sector-104-gurgaon-npxid-r318679,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Reading Lounge', 'Reflexology Park', 'Card Room', 'Barbecue', 'Restaurant', 'Sauna', 'Spa']"
Central Park Flower Valley Mikasa Plots, sector-33 sohna,https://www.99acres.com/central-park-flower-valley-mikasa-plots-sector-33-sohna-gurgaon-npxid-r308685,"['Bowling Alley', 'Concierge Service', 'Swimming Pool', 'Lounge', 'Medical Centre', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Golf Course']"
M3M Skywalk, sector 74,https://www.99acres.com/m3m-skywalk-sector-74-gurgaon-npxid-r368291,"['Concierge Service', 'Swimming Pool', 'Lounge', 'Golf Course', 'Changing Area', 'Aerobics Centre', 'Restaurant', 'High Speed Elevators', 'Waiting Lounge']"
