property_type,society,sector,price,built_up_area,price_per_sqft,bedRoom,bathroom,balcony,agePossession,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_category,floor_category
flat,Atstriumph,sector 80,3.55,2295.0,15468.41,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Conscient Parq,sector 2,2.7,2300.0,11739.13,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Ashiana Mulberry,sector ,2.25,1611.0,13966.48,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Ganga Kashi,sector 103,9.41,4112.0,22884.24,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Whitelandurban Resort,sector 62,18.32,5310.0,34500.94,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Pioneer Araya,sector 37,3.86,2495.0,15470.94,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Signature Sarvam Dxp,sector 36,7.06,3531.0,19994.34,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,,sector 60,6.99,5200.0,13442.31,5,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Adani Samsara,sector 89,1.43,1105.0,12941.18,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Soulitude,sector ,6.5,1742.0,37313.43,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,,sector 54,17.0,2200.0,77272.73,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Dlf Crest,sector 36,16.0,7046.0,22707.92,5,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Krisumi Waterside,sector 36,1.51,1225.0,12326.53,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Signature Park I Ext,sector 36,5.78,2700.0,21407.41,3,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Krisumi Waterfall Residency,sector 5,1.8,1610.0,11180.12,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Meffier Garden Residency,sector 102,5.14,3265.0,15742.73,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Hcbs Tw,sector 93,2.67,1000.0,26700.0,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
