property_type,society,sector,price,built_up_area,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_score
flat, Tribeca Trump Tower,46,8.26,2504.0,32987.22,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Shapoorji Pallonji The Dualis,,1.75,1660.0,10542.17,3,0,0,5.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Bestech Park View Ananda,72,4.2,1600.0,26250.0,3,0,0,18.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Tata Primanti,63,9.81,2750.0,35672.73,4,0,0,27.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Emaar The Palm Spr,48,3.8,2076.0,18304.43,4,3,3,5.0,New Property,0,0,0,0,0,Semi-Furnished,0.5846153846153846
flat, DLF The Arbour,,2.0,1000.0,20000.0,3,0,0,2.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, Bestech Park View City,43,5.5,3500.0,15714.29,4,0,0,2.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Emaar Gurgaon Greens,53,6.95,2895.0,24006.91,3,0,0,8.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Sushant Lok-I,113,5.0,2700.0,18518.52,4,0,0,30.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Parsvnath Exotica,57,6.1,4300.0,14186.05,6,0,0,0.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, M3M Mansion,99,1.95,1050.0,18571.43,3,3,3,2.0,New Property,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, Emaar Gurgaon Greens,57,2.75,1800.0,15277.78,3,0,0,2.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Tulip Lemon,49,4.15,1512.0,27447.09,4,4,2,4.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, HUDA Authority Plots,33,1.45,1385.0,10469.31,2,0,0,5.0,New Property,0,0,0,0,0,Semi-Furnished,0.12307692307692308
flat, ,,1.8,1200.0,15000.0,3,0,0,12.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, Godrej Nature Plus,67,3.05,2000.0,15250.0,4,0,0,26.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Emaar Gurgaon Greens,,6.6,2200.0,30000.0,4,0,0,18.0,New Property,0,1,0,0,0,Semi-Furnished,0.5846153846153846
flat, Ansal Versalia,,4.45,2700.0,16481.48,4,0,0,3.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, DLF Westend Heights,67,0.71,800.0,8875.0,2,0,0,3.0,New Property,0,0,0,0,0,Semi-Furnished,0.12307692307692308
flat, Block O South City 1,80,2.79,1995.0,13984.96,3,0,0,30.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Shree Vardhman Mantra,57,4.5,2500.0,18000.0,3,4,3,11.0,New Property,0,1,0,0,0,Semi-Furnished,0.7384615384615385
flat, Conscient Elaira Residences Phase 1,,4.2,2000.0,21000.0,4,0,0,4.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Satya The Legend,,6.75,3078.0,21929.82,4,0,0,5.0,New Property,1,1,0,0,0,Semi-Furnished,0.8153846153846154
flat, DLF City 4,57,4.0,2500.0,16000.0,4,0,0,4.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Essel Towers,54,15.25,3287.0,46394.89,4,0,0,11.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, ,22,3.0,1300.0,23076.92,2,0,0,12.0,New Property,0,0,0,0,0,Semi-Furnished,0.12307692307692308
flat, Salcon The Verandas,,2.1,1100.0,19090.91,3,0,0,28.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, Ambience Creacions,1,1.34,1760.0,7613.64,3,0,0,12.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Signature Global Dax,47,3.5,2430.0,14403.29,3,0,0,7.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Manesar,,6.5,2200.0,29545.45,4,0,0,10.0,New Property,0,1,0,0,0,Semi-Furnished,0.5846153846153846
flat, Malibu Town,89,1.6,950.0,16842.11,3,0,0,27.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, DLF Tr,,2.55,1900.0,13421.05,3,0,0,3.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Smart World Gems,46,4.1,2100.0,19523.81,4,0,0,3.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Parsvnath Green Ville,50,2.1,1376.0,15261.63,3,0,0,5.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, ,106,3.0,2050.0,14634.15,3,0,0,26.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, Eros Wembley Estate,113,3.76,2080.0,18076.92,3,0,0,30.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, Godrej Meridien,,9.8,3200.0,30625.0,4,0,0,28.0,Under Construction,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, M3M Mansion,89,2.75,1750.0,15714.29,4,0,0,26.0,New Property,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, ,2,9.15,4750.0,19263.16,4,0,0,29.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Fantasy The Manor,76,4.45,3075.0,14471.54,4,0,0,28.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Victory Floors 89,95,1.51,1800.0,8388.89,3,0,0,26.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Adani Lushlands,89,5.47,2500.0,21880.0,4,0,0,28.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Whiteland The ASPEN,103,2.95,1364.0,21627.57,3,0,0,27.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, Landmark Avana,89,1.68,1350.0,12444.44,2,0,0,30.0,New Property,0,0,0,0,0,Semi-Furnished,0.12307692307692308
flat, GODREJ ZENITH,62,5.87,1430.0,41048.95,3,4,0,28.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Oxirich Ch,63,6.58,1700.0,38705.88,3,0,0,31.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, ,62,3.95,2124.0,18596.99,3,0,0,0.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, Emaar Urban Oasis,51,3.75,2150.0,17441.86,3,0,0,26.0,New Property,1,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, The Legacy Phase 1,63,8.93,2200.0,40590.91,4,0,0,14.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Emaar Urban Oasis,62,4.4,2262.0,19451.81,3,0,0,28.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Orchid IVY,61,4.74,1566.0,30268.2,3,0,0,29.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, TARC Ishva,106,2.1,1366.0,15373.35,2,0,0,26.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.12307692307692308
flat, Luxury Builder Floors,32,3.9,1850.0,21081.08,3,0,0,26.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Emaar Urban Oasis,,2.05,1380.0,14855.07,3,0,0,27.0,New Property,0,1,0,0,0,Semi-Furnished,0.35384615384615387
flat, Puri The Aravallis,43,16.8,3425.0,49051.09,4,0,0,29.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Godrej Meridien,103,6.53,1827.0,35741.65,3,0,0,43.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Central Park The Orchard,63,4.0,3000.0,13333.33,3,0,0,26.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Signature Global Dax,,21.0,4800.0,43750.0,5,0,0,0.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Godrej Miraya,,0.675,577.0,11698.44,2,0,0,5.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, Whiteland Urban Resort,111,4.38,2380.0,18403.36,3,0,0,0.0,New Property,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, Birla Navya Anaika,83,2.0,1848.0,10822.51,3,0,0,28.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Sushant Lok Builder Floors,111,3.41,1895.0,17994.72,3,0,0,0.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Phase 2 DLF Gurgaon,111,3.74,2080.0,17980.77,3,0,0,0.0,New Property,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, Hayatpur,108,4.3,1550.0,27741.94,3,0,0,14.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Puri Diplomatic Residences,67,2.8,1435.0,19512.2,2,0,0,34.0,New Property,0,0,0,0,0,Semi-Furnished,0.12307692307692308
flat, SS Cendana,88,0.7,645.0,10852.71,3,0,0,26.0,Under Construction,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, M3M Crown Phase 1,14,1.05,1420.0,7394.37,3,0,0,2.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, M3M Crown Phase 1,83,1.52,981.0,15494.39,3,0,0,29.0,Under Construction,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Sobha City,65,15.0,2200.0,68181.82,4,0,0,26.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Ireo Victory Valley,89,0.8,646.0,12383.9,3,0,0,27.0,Under Construction,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Signature Global Imperial,110,0.8,645.0,12403.1,3,0,0,26.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Anamika Enclave,70,5.3,2459.0,21553.48,5,0,0,31.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, SS Cendana,62,6.0,2745.0,21857.92,3,0,0,31.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Tribeca Trump Tower,37,4.06,2622.0,15484.36,3,0,0,31.0,Under Construction,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Rama Homes,,3.9,2305.0,16919.74,4,0,0,27.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Tulip Melrose,2,1.35,1200.0,11250.0,3,0,0,12.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, ,36,4.93,1760.0,28011.36,4,0,0,28.0,New Property,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, Signature Global DE LUXE DXP,,2.35,1350.0,17407.41,3,0,0,26.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, M3M,,8.25,5350.0,15420.56,4,0,0,4.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Dwarka Expressway L,63,9.0,2800.0,32142.86,4,0,0,28.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Eldeco Acclaim,104,1.92,1100.0,17454.55,3,0,0,35.0,Under Construction,0,0,0,0,0,Semi-Furnished,0.2
flat, ,,2.6,1540.0,16883.12,3,0,0,26.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
